taxi_id,start_location
215,"['116.42045', '39.90358']"
353,"['116.41941', '39.90348']"
386,"['116.4555', '39.89133']"
809,"['116.42117', '39.90332']"
849,"['116.42119', '39.90341']"
1055,"['116.42015', '39.91388']"
1117,"['116.41922', '39.90348']"
1414,"['116.42098', '39.90349']"
1893,"['116.42667', '39.8938']"
2156,"['116.42081', '39.90335']"
2276,"['116.45661', '39.8748']"
2284,"['116.42087', '39.90351']"
2294,"['116.42107', '39.89857']"
2486,"['116.42043', '39.90345']"
2673,"['116.42063', '39.90338']"
2909,"['116.42102', '39.90344']"
2986,"['116.42076', '39.90344']"
2997,"['116.41557', '39.90119']"
3066,"['116.41817', '39.90295']"
3100,"['116.42095', '39.90339']"
3120,"['116.42057', '39.90344']"
3133,"['116.42076', '39.90354']"
3501,"['116.42116', '39.90473']"
3540,"['116.42093', '39.90344']"
3688,"['116.4293', '39.89382']"
3835,"['116.42101', '39.90344']"
4020,"['116.42097', '39.90347']"
4049,"['116.4194', '39.90341']"
4091,"['116.42078', '39.90338']"
4109,"['116.40959', '39.89596']"
4143,"['116.42076', '39.90335']"
4319,"['116.42089', '39.90348']"
4510,"['116.47044', '39.89927']"
4644,"['116.42122', '39.90346']"
4652,"['116.42112', '39.90353']"
5000,"['116.40287', '39.87167']"
5079,"['116.42114', '39.90342']"
5126,"['116.44755', '39.85268']"
5534,"['116.42101', '39.90341']"
5545,"['116.42097', '39.90343']"
5627,"['116.42105', '39.89837']"
5630,"['116.42124', '39.89823']"
5831,"['116.41177', '39.89956']"
5880,"['116.42126', '39.90331']"
5908,"['116.40626', '39.89113']"
5973,"['116.45568', '39.88322']"
6014,"['116.41819', '39.90321']"
6147,"['116.42076', '39.9034']"
6383,"['116.41718', '39.9025']"
6682,"['116.41334', '39.91064']"
6688,"['116.42063', '39.90331']"
7039,"['116.39248', '39.88184']"
7087,"['116.4142', '39.90022']"
7101,"['116.44467', '39.89233']"
7190,"['116.41792', '39.90306']"
7463,"['116.4121', '39.89167']"
7573,"['116.42127', '39.89851']"
7678,"['116.42097', '39.90342']"
7685,"['116.41357', '39.89985']"
7961,"['116.42092', '39.90547']"
8080,"['116.42121', '39.89899']"
8132,"['116.47008', '39.90629']"
8488,"['116.42048', '39.90344']"
8616,"['116.41912', '39.89922']"
8650,"['116.42748', '39.94119']"
8661,"['116.42061', '39.90342']"
8832,"['116.42191', '39.91259']"
9130,"['116.41959', '39.92898']"
9232,"['116.42116', '39.90343']"
9384,"['116.40096', '39.90661']"
9415,"['116.42119', '39.90352']"
9623,"['116.42863', '39.89633']"
9945,"['116.42087', '39.90347']"
9948,"['116.4211', '39.90348']"
9950,"['116.42078', '39.90338']"
