taxi_id,start_time,start_location,end_time
26,2008/2/2 13:39,"['116.30233', '39.9226']",301
164,2008/2/2 13:36,"['116.31926', '39.92207']",604
215,2008/2/2 13:43,"['116.31517', '39.89601']",322
253,2008/2/2 13:39,"['117.08698', '40.1223']",600
257,2008/2/2 13:59,"['116.47154', '39.90574']",321
353,2008/2/2 15:55,"['116.4304', '39.91373']",301
386,2008/2/2 13:39,"['116.58277', '40.04918']",600
397,2008/2/2 13:47,"['116.37027', '39.8497']",423
594,2008/2/2 13:36,"['116.44411', '39.79915']",600
711,2008/2/2 13:48,"['116.5659', '40.07158']",256
809,2008/2/2 13:36,"['116.4185', '39.97623']",600
849,2008/2/2 13:35,"['116.46096', '39.92896']",604
850,2008/2/2 16:20,"['116.49053', '40.00333']",904
893,2008/2/2 13:42,"['116.31416', '39.97975']",720
970,2008/2/2 13:35,"['116.50518', '39.79029']",301
986,2008/2/2 13:38,"['116.35577', '39.95672']",772
1055,2008/2/2 13:37,"['116.3684', '39.91325']",300
1117,2008/2/2 13:32,"['116.47256', '39.986']",301
1131,2008/2/2 13:30,"['116.45804', '39.86973']",205
1239,2008/2/2 13:39,"['116.44293', '39.89254']",324
1258,2008/2/2 13:35,"['116.47368', '39.90708']",600
1322,2008/2/2 13:34,"['116.44437', '39.94364']",466
1370,2008/2/2 13:36,"['116.39379', '39.85336']",436
1414,2008/2/2 13:36,"['116.37005', '39.86897']",585
1440,2008/2/2 13:38,"['116.41959', '39.92271']",900
1443,2008/2/2 13:38,"['116.49147', '39.97065']",600
1553,2008/2/2 13:39,"['116.37675', '39.90546']",413
1676,2008/2/2 13:40,"['116.40057', '39.83083']",300
1753,2008/2/2 13:31,"['116.49848', '39.8741']",205
1872,2008/2/2 13:32,"['116.31528', '39.89611']",302
1893,2008/2/2 13:36,"['116.32401', '40.02823']",603
1903,2008/2/2 13:52,"['116.31952', '39.94264']",683
2099,2008/2/2 13:36,"['116.30673', '39.89583']",600
2156,2008/2/2 13:56,"['116.45555', '39.90237']",496
2217,2008/2/2 13:34,"['116.47162', '39.90891']",302
2272,2008/2/2 13:36,"['116.38361', '39.90611']",603
2276,2008/2/2 14:03,"['116.47545', '39.91395']",206
2284,2008/2/2 13:34,"['116.45371', '39.91196']",482
