taxi_id,start_location,cost,payment,speed
215,"['116.42045', '39.90358']",72,105,11
353,"['116.41941', '39.90348']",25,65,5
386,"['116.4555', '39.89133']",83,103,22
809,"['116.42117', '39.90332']",27,38,11
849,"['116.42119', '39.90341']",93,97,11
970,"['116.41698', '39.8992']",77,97,2
1055,"['116.42015', '39.91388']",54,93,22
1117,"['116.41922', '39.90348']",80,82,11
1258,"['116.42067', '39.90343']",14,36,2
1414,"['116.42098', '39.90349']",4,31,5
1676,"['116.42583', '39.89631']",87,89,2
1893,"['116.42667', '39.8938']",55,97,4
1903,"['116.42099', '39.90607']",31,73,5
2156,"['116.42081', '39.90335']",55,85,22
2276,"['116.45661', '39.8748']",75,103,2
2284,"['116.42087', '39.90351']",24,61,1
2294,"['116.42107', '39.89857']",52,53,22
2306,"['116.42112', '39.9035']",90,130,2
2486,"['116.42043', '39.90345']",84,93,2
2673,"['116.42063', '39.90338']",70,111,22
2899,"['116.43702', '39.93995']",20,49,5
2909,"['116.42102', '39.90344']",86,119,2
2986,"['116.42076', '39.90344']",67,113,4
2997,"['116.41557', '39.90119']",63,70,5
3023,"['116.42133', '39.89222']",50,55,2
3066,"['116.41817', '39.90295']",54,59,1
3100,"['116.42095', '39.90339']",75,89,4
3120,"['116.42057', '39.90344']",60,90,1
3133,"['116.42076', '39.90354']",70,90,2
3151,"['116.42087', '39.90343']",13,55,2
3501,"['116.42116', '39.90473']",85,115,2
3540,"['116.42093', '39.90344']",70,108,1
3688,"['116.4293', '39.89382']",47,54,11
3779,"['116.42157', '39.89247']",59,82,2
3835,"['116.42101', '39.90344']",58,82,11
4020,"['116.42097', '39.90347']",8,45,5
4049,"['116.4194', '39.90341']",17,59,1
4091,"['116.42078', '39.90338']",5,23,2
4109,"['116.40959', '39.89596']",20,41,2
4113,"['116.42018', '39.90337']",94,115,5
4143,"['116.42076', '39.90335']",61,63,2
4319,"['116.42089', '39.90348']",50,94,4
4510,"['116.47044', '39.89927']",33,62,2
4644,"['116.42122', '39.90346']",96,137,22
4652,"['116.42112', '39.90353']",46,52,5
5000,"['116.40287', '39.87167']",47,63,5
5079,"['116.42114', '39.90342']",22,58,4
5126,"['116.44755', '39.85268']",65,82,22
5510,"['116.41949', '39.90356']",25,39,22
5534,"['116.42101', '39.90341']",54,88,1
5545,"['116.42097', '39.90343']",62,104,5
5627,"['116.42105', '39.89837']",19,33,22
5630,"['116.42124', '39.89823']",95,114,11
5831,"['116.41177', '39.89956']",39,45,2
5880,"['116.42126', '39.90331']",37,52,5
5908,"['116.40626', '39.89113']",27,32,5
5973,"['116.45568', '39.88322']",38,57,2
6014,"['116.41819', '39.90321']",87,99,11
6147,"['116.42076', '39.9034']",83,86,22
6383,"['116.41718', '39.9025']",54,61,2
6507,"['116.42106', '39.90344']",40,54,11
6511,"['116.41871', '39.90343']",48,57,1
6682,"['116.41334', '39.91064']",28,62,2
6688,"['116.42063', '39.90331']",79,92,1
7039,"['116.39248', '39.88184']",56,97,5
7087,"['116.4142', '39.90022']",31,76,4
7101,"['116.44467', '39.89233']",8,40,1
7129,"['116.42101', '39.90336']",50,92,11
7190,"['116.41792', '39.90306']",64,76,4
7221,"['116.42643', '39.89941']",84,94,2
7433,"['116.42072', '39.90552']",36,43,4
7463,"['116.4121', '39.89167']",44,62,11
7573,"['116.42127', '39.89851']",66,103,5
7623,"['116.42016', '39.923']",24,58,1
7673,"['116.45016', '39.94026']",36,68,22
7678,"['116.42097', '39.90342']",75,117,1
7685,"['116.41357', '39.89985']",87,106,22
7961,"['116.42092', '39.90547']",20,58,2
8080,"['116.42121', '39.89899']",93,113,5
8132,"['116.47008', '39.90629']",41,64,22
8488,"['116.42048', '39.90344']",42,53,22
8616,"['116.41912', '39.89922']",12,49,11
8650,"['116.42748', '39.94119']",31,45,11
8661,"['116.42061', '39.90342']",45,76,1
8832,"['116.42191', '39.91259']",43,52,2
9130,"['116.41959', '39.92898']",85,95,5
9232,"['116.42116', '39.90343']",67,78,2
9384,"['116.40096', '39.90661']",74,116,2
9415,"['116.42119', '39.90352']",87,136,11
9622,"['116.45341', '39.89227']",37,60,22
9623,"['116.42863', '39.89633']",30,45,11
9945,"['116.42087', '39.90347']",1,26,11
9948,"['116.4211', '39.90348']",12,51,11
9950,"['116.42078', '39.90338']",75,114,4
10222,"['116.43614', '39.89762']",49,85,11
