taxi_id,start_location,cost,payment,speed
215,"['116.42045', '39.90358']",48,93,11
353,"['116.41941', '39.90348']",68,73,2
809,"['116.42117', '39.90332']",70,119,11
849,"['116.42119', '39.90341']",75,76,11
1117,"['116.41922', '39.90348']",60,90,2
1893,"['116.42667', '39.8938']",88,94,4
2156,"['116.42081', '39.90335']",28,61,5
2276,"['116.45661', '39.8748']",45,70,12
2284,"['116.42087', '39.90351']",78,98,1
2486,"['116.42043', '39.90345']",77,97,1
2909,"['116.42102', '39.90344']",38,83,2
2997,"['116.41557', '39.90119']",29,54,4
3066,"['116.41817', '39.90295']",9,46,5
3133,"['116.42076', '39.90354']",28,67,4
3501,"['116.42116', '39.90473']",0,46,5
3688,"['116.4293', '39.89382']",73,90,11
3835,"['116.42101', '39.90344']",82,116,11
4020,"['116.42097', '39.90347']",21,34,5
4143,"['116.42076', '39.90335']",58,100,2
4319,"['116.42089', '39.90348']",22,28,11
4510,"['116.47044', '39.89927']",0,32,2
4644,"['116.42122', '39.90346']",50,65,11
4652,"['116.42112', '39.90353']",56,72,11
5079,"['116.42114', '39.90342']",47,75,1
5126,"['116.44755', '39.85268']",99,116,11
5545,"['116.42097', '39.90343']",25,53,12
5627,"['116.42105', '39.89837']",50,62,11
5630,"['116.42124', '39.89823']",7,41,4
5831,"['116.41177', '39.89956']",24,47,12
5880,"['116.42126', '39.90331']",22,36,1
5908,"['116.40626', '39.89113']",34,57,11
6014,"['116.41819', '39.90321']",92,114,12
6383,"['116.41718', '39.9025']",14,38,11
6682,"['116.41334', '39.91064']",35,50,4
6688,"['116.42063', '39.90331']",7,20,5
7087,"['116.4142', '39.90022']",63,69,1
7190,"['116.41792', '39.90306']",56,72,1
7463,"['116.4121', '39.89167']",32,45,1
7573,"['116.42127', '39.89851']",95,142,11
7678,"['116.42097', '39.90342']",80,106,11
7685,"['116.41357', '39.89985']",68,91,4
7961,"['116.42092', '39.90547']",68,91,4
8080,"['116.42121', '39.89899']",31,54,11
8488,"['116.42048', '39.90344']",94,119,4
8650,"['116.42748', '39.94119']",16,31,5
8661,"['116.42061', '39.90342']",40,66,2
9130,"['116.41959', '39.92898']",99,138,11
9232,"['116.42116', '39.90343']",48,87,2
9415,"['116.42119', '39.90352']",9,52,1
9623,"['116.42863', '39.89633']",40,51,5
9945,"['116.42087', '39.90347']",56,61,1
9950,"['116.42078', '39.90338']",52,66,11
