taxi_id,start_time,start_location,end_time
215,2008/2/2 13:43,"['116.31517', '39.89601']",322
353,2008/2/2 15:55,"['116.4304', '39.91373']",301
809,2008/2/2 13:36,"['116.4185', '39.97623']",600
849,2008/2/2 13:35,"['116.46096', '39.92896']",604
1117,2008/2/2 13:32,"['116.47256', '39.986']",301
1893,2008/2/2 13:36,"['116.32401', '40.02823']",603
2156,2008/2/2 13:56,"['116.45555', '39.90237']",496
2276,2008/2/2 14:03,"['116.47545', '39.91395']",206
2284,2008/2/2 13:34,"['116.45371', '39.91196']",482
2486,2008/2/2 13:31,"['116.38123', '39.98445']",213
2909,2008/2/2 13:45,"['116.33489', '39.92686']",241
2997,2008/2/2 13:36,"['116.44972', '39.95718']",600
3066,2008/2/2 13:37,"['116.31886', '39.89605']",600
3133,2008/2/2 13:39,"['116.29868', '39.92248']",574
3501,2008/2/3 8:42,"['116.42132', '39.90455']",905
3688,2008/2/2 15:29,"['116.56611', '40.07087']",521
3835,2008/2/2 13:37,"['116.56632', '40.07165']",301
4020,2008/2/2 13:45,"['116.4649', '39.92934']",589
4143,2008/2/2 13:41,"['117.21429', '40.14622']",291
4319,2008/2/2 13:35,"['116.4501', '39.88102']",302
4510,2008/2/2 13:45,"['116.43974', '39.90701']",761
4644,2008/2/2 13:33,"['116.46185', '39.95504']",530
4652,2008/2/2 13:39,"['116.34756', '39.95812']",938
5079,2008/2/2 13:34,"['116.47715', '39.98275']",301
5126,2008/2/2 13:43,"['116.48941', '39.97016']",329
5545,2008/2/2 13:34,"['116.40312', '39.96738']",301
5627,2008/2/2 13:40,"['116.39806', '39.856']",251
5630,2008/2/2 13:39,"['116.46655', '39.98294']",309
5831,2008/2/2 13:55,"['116.48089', '40.00534']",609
5880,2008/2/2 13:40,"['116.30697', '39.89537']",522
5908,2008/2/2 13:36,"['116.26773', '39.90758']",603
6014,2008/2/2 13:40,"['116.30419', '39.93492']",301
6383,2008/2/2 13:39,"['116.32117', '39.97509']",604
6682,2008/2/2 13:33,"['116.40975', '39.9609']",302
6688,2008/2/2 13:39,"['116.46833', '39.83928']",600
7087,2008/2/2 13:34,"['116.48368', '39.91621']",302
7190,2008/2/2 13:55,"['116.43971', '39.9507']",292
7463,2008/2/2 13:38,"['116.36819', '39.88215']",603
7573,2008/2/2 13:32,"['116.32125', '39.89196']",222
7678,2008/2/2 13:34,"['116.434', '39.94942']",606
7685,2008/2/2 16:10,"['116.47191', '39.90715']",360
7961,2008/2/2 13:37,"['116.42059', '39.89216']",604
8080,2008/2/2 13:35,"['116.35764', '39.88097']",600
8488,2008/2/2 13:37,"['116.51743', '39.96958']",604
8650,2008/2/2 13:35,"['116.40196', '39.94662']",302
8661,2008/2/2 13:37,"['116.47382', '39.90665']",313
9130,2008/2/2 13:36,"['116.3501', '39.91738']",302
9232,2008/2/2 13:32,"['116.38191', '39.94279']",240
9415,2008/2/2 13:32,"['116.3109', '39.97469']",302
9623,2008/2/4 5:50,"['116.63448', '39.88607']",900
9945,2008/2/2 14:30,"['116.42809', '39.92755']",210
9950,2008/2/2 13:31,"['116.4116', '39.91746']",240
