taxi_id,start_location,cost,payment,speed
353,"['116.41941', '39.90348']",25,65,5
1117,"['116.41922', '39.90348']",80,82,11
2156,"['116.42081', '39.90335']",55,85,22
5126,"['116.44755', '39.85268']",65,82,22
5545,"['116.42097', '39.90343']",62,104,5
6383,"['116.41718', '39.9025']",54,61,2
6688,"['116.42063', '39.90331']",79,92,1
8488,"['116.42048', '39.90344']",42,53,22
9130,"['116.41959', '39.92898']",85,95,5
9232,"['116.42116', '39.90343']",67,78,2
9415,"['116.42119', '39.90352']",87,136,11
9945,"['116.42087', '39.90347']",1,26,11
9950,"['116.42078', '39.90338']",75,114,4
