taxi_id,start_location,cost,payment,speed
353,"['116.41941', '39.90348']",25,65,5
809,"['116.42117', '39.90332']",56,72,2
849,"['116.42119', '39.90341']",7,35,22
1117,"['116.41922', '39.90348']",80,82,11
1893,"['116.42667', '39.8938']",21,64,2
2156,"['116.42081', '39.90335']",55,85,22
2486,"['116.42043', '39.90345']",62,89,1
2909,"['116.42102', '39.90344']",54,82,1
2997,"['116.41557', '39.90119']",8,19,1
3066,"['116.41817', '39.90295']",94,123,2
3501,"['116.42116', '39.90473']",61,68,4
3688,"['116.4293', '39.89382']",42,89,22
3835,"['116.42101', '39.90344']",81,130,5
4143,"['116.42076', '39.90335']",22,64,2
4319,"['116.42089', '39.90348']",60,75,2
4652,"['116.42112', '39.90353']",28,44,2
5079,"['116.42114', '39.90342']",55,70,5
5126,"['116.44755', '39.85268']",65,82,22
5545,"['116.42097', '39.90343']",62,84,5
5627,"['116.42105', '39.89837']",55,95,11
5630,"['116.42124', '39.89823']",73,90,4
5831,"['116.41177', '39.89956']",75,117,4
5880,"['116.42126', '39.90331']",42,66,11
5908,"['116.40626', '39.89113']",44,73,2
6014,"['116.41819', '39.90321']",59,60,1
6383,"['116.41718', '39.9025']",54,63,2
6688,"['116.42063', '39.90331']",79,83,1
7087,"['116.4142', '39.90022']",59,106,5
7190,"['116.41792', '39.90306']",7,32,11
7463,"['116.4121', '39.89167']",42,49,2
7573,"['116.42127', '39.89851']",53,54,22
7678,"['116.42097', '39.90342']",62,87,5
7685,"['116.41357', '39.89985']",2,34,1
7961,"['116.42092', '39.90547']",85,93,11
8080,"['116.42121', '39.89899']",80,92,22
8488,"['116.42048', '39.90344']",42,53,22
8650,"['116.42748', '39.94119']",93,115,2
8661,"['116.42061', '39.90342']",45,62,2
9130,"['116.41959', '39.92898']",85,95,5
9232,"['116.42116', '39.90343']",67,95,2
9415,"['116.42119', '39.90560']",87,143,4
9945,"['116.42087', '39.90347']",1,85,11
9950,"['116.42078', '39.90338']",75,26,4
