taxi_id,start_location,cost,payment,speed
353,"['116.41941', '39.90348']",25,65,5
1117,"['116.41922', '39.90348']",80,82,11
2156,"['116.42081', '39.90335']",55,85,22
2909,"['116.42102', '39.90344']",54,82,1
2997,"['116.41557', '39.90119']",8,19,1
3066,"['116.41817', '39.90295']",94,123,2
3835,"['116.42101', '39.90344']",81,130,5
4143,"['116.42076', '39.90335']",22,64,2
5126,"['116.44755', '39.85268']",65,82,22
5545,"['116.42097', '39.90343']",62,84,5
6383,"['116.41718', '39.9025']",54,63,2
6688,"['116.42063', '39.90331']",79,83,1
7087,"['116.4142', '39.90022']",59,106,5
7190,"['116.41792', '39.90306']",7,32,11
7685,"['116.41357', '39.89985']",2,34,1
8080,"['116.42121', '39.89899']",80,92,22
8488,"['116.42048', '39.90344']",42,53,22
8661,"['116.42061', '39.90342']",45,62,2
9130,"['116.41959', '39.92898']",85,95,5
9232,"['116.42116', '39.90343']",67,95,2
9415,"['116.42119', '39.90560']",87,143,4
9945,"['116.42087', '39.90347']",1,85,11
9950,"['116.42078', '39.90338']",75,26,4
